Reference_GAVIA,ReferenceID,Reference_Full,
"{Barrat, 2010 #837}",837,"Barrat, J., Richomme, C., & Moinet, M. (2010). The accidental release of exotic species from breeding colonies and zoological collections. Revue scientifique et technique/Office international des e?pizooties, 29(1), 113-122. ",
"{Barrett, 2003 #246}",246,"Barrett, G., Silcocks, A., Barry, S., Cunnigham, R., & Poulter, R. (2003). The new atlas of Australian birds. Victoria, Australia: Royal Australasian Ornithologists Union.",
"{Bashir, 2005 #524}",524,"Bashir, S., & Jowed, S. (2005). Range expansion of grey francolin Francolinus pondecerianus in the United Arab Emirates. Annual Review of the World Pheasant Association 2004/2005, 62-65. ",
"{Beckon, 1993 #530}",530,"Beckon, W. N. (1993). The effect of insularity on the diversity of land birds in the Fiji islands: implications for refuge design. Oecologia, 94, 318-329. ",
"{Beehler, 1986 #311}",311,"Beehler, B. M., Pratt, T. K., & Zimmerman, D. A. (1986). Birds of New Guinea. Princeton, N.J: Princeton University Press.",
"{Benson, 1971 #353}",353,"Benson, C. W., & Penny, M. J. (1971). The Land Birds of Aldabra. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, 260(836), 417-527. ",
"{Bergman, 2000 #849}",849,"Bergman, D. L., Chandler, M. D., & Locklear, A. (2000). The economic impact of invasive species to wildlife services' cooperators. In L. Clark, J. Hone, J. Shivik, K. VerCauteren, R. Watkins & J. Yoder (Eds.), Human conflicts with wildlife: economic considerations (pp. 169-178). Fort Collins, Colorado: National Wildlife Research.",
"{Bigalke, 1937 #333}",333,"Bigalke, R. (1937). The naturalisation of animals, with special reference to South Africa. South African Journal of Science, 33, 46-63. ",
"{Bigalke, 1964 #334}",334,"Bigalke, R. C. (1964). Indian mynas (Acridotheres tristis) in Kimberley. Ostrich, 35, 60. ",
"{Birchenough, 2003 #535}",535,"Birchenough, A. C., Douglas, G. W., & Evans, S. M. (2003). Assessing the distribution of estrildid finches on Vanuatu using local knowledge. Bird Conservation International, 13, 29-44. ",
"{Blackburn, 2012 #909}",909,"Blackburn, T. M. (2012, 26/03/2012). [House crows in Sudan].",
"{Blackburn, 2014 #1035}",1035,"Blackburn, T. M. (2014, 05/03/14). [Barnacle goose].",
"{Blackburn, 2014 #1036}",1036,"Blackburn, T. M. (2014, 05/03/14). [Mute swan].",
